train_no,train_name,from_city,to_city,duration_hours,SL_price_inr,3AC_price_inr,2AC_price_inr,1AC_price_inr
12007,Mysuru Shatabdi Express,Kolkata,Hyderabad,12,640,1472,2112,3520
12007,Mysuru Shatabdi Express,Kolkata,Delhi,10,600,1380,1980,3300
12259,Sealdah Duronto Express,Kolkata,Delhi,19,780,1793,2574,4290
16382,Himsagar Express,Kolkata,Mumbai,31,1020,2346,3366,5610
12007,Mysuru Shatabdi Express,Kolkata,Mumbai,21,820,1885,2706,4510
12723,Telangana Express,Kolkata,Bangalore,11,620,1426,2046,3410
12259,Sealdah Duronto Express,Kolkata,Bangalore,12,640,1472,2112,3520
12860,Gitanjali Express,Kolkata,Chennai,29,980,2254,3234,5390
12627,Karnataka Express,Kolkata,Chennai,19,780,1793,2574,4290
12007,Mysuru Shatabdi Express,Kolkata,Jaipur,20,800,1839,2640,4400
12621,Tamil Nadu Express,Kolkata,Jaipur,26,920,2116,3036,5060
12137,Punjab Mail,Kolkata,Goa,9,580,1334,1914,3190
12951,Mumbai Rajdhani Express,Kolkata,Goa,23,860,1977,2838,4730
12723,Telangana Express,Jaipur,Hyderabad,24,880,2023,2904,4840
12137,Punjab Mail,Jaipur,Hyderabad,16,720,1655,2376,3960
16382,Himsagar Express,Jaipur,Delhi,19,780,1793,2574,4290
12301,Howrah Rajdhani Express,Jaipur,Delhi,35,1100,2530,3630,6050
12953,August Kranti Rajdhani Express,Jaipur,Mumbai,14,680,1563,2244,3740
16382,Himsagar Express,Jaipur,Mumbai,11,620,1426,2046,3410
16382,Himsagar Express,Jaipur,Bangalore,34,1080,2484,3564,5940
12213,Duronto Express,Jaipur,Bangalore,19,780,1793,2574,4290
12615,Grand Trunk Express,Jaipur,Chennai,15,700,1609,2310,3850
11077,Jhelum Express,Jaipur,Chennai,10,600,1380,1980,3300
12007,Mysuru Shatabdi Express,Jaipur,Kolkata,23,860,1977,2838,4730
12137,Punjab Mail,Jaipur,Kolkata,29,980,2254,3234,5390
12137,Punjab Mail,Jaipur,Goa,17,740,1701,2442,4070
11077,Jhelum Express,Jaipur,Goa,16,720,1655,2376,3960
11077,Jhelum Express,Goa,Hyderabad,35,1100,2530,3630,6050
12860,Gitanjali Express,Goa,Hyderabad,16,720,1655,2376,3960
16382,Himsagar Express,Goa,Delhi,28,960,2208,3168,5280
12860,Gitanjali Express,Goa,Delhi,28,960,2208,3168,5280
12951,Mumbai Rajdhani Express,Goa,Mumbai,15,700,1609,2310,3850
12137,Punjab Mail,Goa,Mumbai,25,900,2070,2970,4950
12301,Howrah Rajdhani Express,Goa,Bangalore,34,1080,2484,3564,5940
12137,Punjab Mail,Goa,Bangalore,19,780,1793,2574,4290
12137,Punjab Mail,Goa,Chennai,11,620,1426,2046,3410
12259,Sealdah Duronto Express,Goa,Chennai,12,640,1472,2112,3520
12627,Karnataka Express,Goa,Kolkata,32,1040,2392,3432,5720
12301,Howrah Rajdhani Express,Goa,Kolkata,32,1040,2392,3432,5720
12259,Sealdah Duronto Express,Goa,Jaipur,15,700,1609,2310,3850
12213,Duronto Express,Goa,Jaipur,31,1020,2346,3366,5610
