city,landmark,rating,entry_fee_inr,description,why_visit
Bangalore,Bangalore Palace,4.3,230,Royal Tudor-style palace.,Lavish interiors and architecture.
Bangalore,Cubbon Park,4.5,0,Green urban park in city center.,Relaxing open spaces.
Bangalore,ISKCON Temple,4.7,0,Modern temple dedicated to Krishna.,Spiritual ambiance.
Bangalore,Bannerghatta National Park,4.3,80,Wildlife park and safari.,Close wildlife encounters.
Bangalore,Vidhana Soudha,4.6,0,Seat of Karnataka legislature.,Impressive neo-Dravidian architecture.
Bangalore,Tipu Sultan’s Summer Palace,4.2,25,18th-century wooden palace.,Indo-Islamic architecture.
Bangalore,Nandi Hills,4.4,0,Hill station near Bangalore.,Sunrise and scenic views.
Chennai,Marina Beach,4.3,0,One of the longest urban beaches.,Sea breeze and local culture.
Chennai,Kapaleeshwarar Temple,4.7,0,Ancient Dravidian-style temple.,Religious and architectural beauty.
Chennai,Fort St. George,4.2,50,First British fortress in India.,Colonial museum and history.
Chennai,San Thome Basilica,4.5,0,Historic church built over St. Thomas’ tomb.,Spiritual significance.
Chennai,Government Museum,4.3,15,Second oldest museum in India.,Art and archaeological collections.
Chennai,Valluvar Kottam,4.3,0,Monument dedicated to Tamil poet Thiruvalluvar.,Cultural landmark.
Chennai,Guindy National Park,4.2,20,Protected park within city.,Wildlife and greenery.
Chennai,Elliot’s Beach,4.4,0,Popular peaceful beach.,Relaxed atmosphere.
Kolkata,Victoria Memorial,4.6,30,Marble monument and museum.,British-era grandeur.
Kolkata,Howrah Bridge,4.4,0,Iconic cantilever bridge.,Symbol of Kolkata.
Kolkata,Dakshineswar Kali Temple,4.7,0,Famous riverside temple.,Religious significance.
Kolkata,Indian Museum,4.4,50,Oldest museum in India.,Rare fossils and artifacts.
Kolkata,Marble Palace,4.3,0,Historic mansion with art collections.,Unique heritage house.
Kolkata,St. Paul’s Cathedral,4.6,0,Gothic-style Anglican cathedral.,Peaceful historic site.
Kolkata,Eco Park,4.4,30,Large urban park with attractions.,Family recreation spot.
Kolkata,Science City,4.4,60,Interactive science center.,Educational entertainment.
Jaipur,Amber Fort,4.6,100,Hilltop Rajput fort.,Elephant rides and views.
Jaipur,Hawa Mahal,4.4,50,Palace of Winds.,Unique façade and balconies.
Jaipur,City Palace,4.5,200,Royal residence complex.,Museum and courtyards.
Jaipur,Jantar Mantar,4.5,50,Astronomical observatory.,UNESCO scientific heritage.
Jaipur,Nahargarh Fort,4.4,50,Fort overlooking Jaipur.,Sunset viewpoints.
Jaipur,Jaigarh Fort,4.4,85,Historic military fort.,Home to world’s largest cannon.
Jaipur,Albert Hall Museum,4.4,40,Indo-Saracenic museum.,Art and artifacts.
Jaipur,Birla Mandir Jaipur,4.6,0,White marble temple.,Peaceful evening spot.
Goa,Fort Aguada,4.5,0,Portuguese-era sea fort.,Sunset and lighthouse views.
Goa,Baga Beach,4.4,0,Popular beach destination.,Water sports and nightlife.
Goa,Calangute Beach,4.3,0,Largest beach in North Goa.,Crowd and activities.
Goa,Basilica of Bom Jesus,4.7,0,UNESCO-listed church.,Houses relics of St. Francis Xavier.
Goa,Dudhsagar Falls,4.6,400,Four-tiered waterfall.,Spectacular monsoon views.
Goa,Chapora Fort,4.3,0,Fort with Arabian Sea views.,Famous movie location.
Goa,Anjuna Beach,4.3,0,Beach known for flea markets.,Bohemian vibe.
Goa,Se Cathedral,4.6,0,Large Portuguese-era cathedral.,Historic architecture.
